GivenName,Surname,City,Company,Country,Department,EmployeeNumber,HomePhone,MobilePhone,POBox,StreetAddress,Title,SamAccountName,AccountPassword,EmailAddress,PasswordNeverExpires,PasswordNotRequired,Enabled,AllowReversiblePasswordEncryptio,AccountNotDelegated,AccountExpirationDate,TrustedForDelegation,OfficePhone,CompoundIdentitySupported,ChangePasswordAtLogon,CannotChangePassword,thumbnailPhoto,Name,OU,Group
Thieme,Kok,,,,,,126184918,,1749 IK,Kasteel Traverse 3,Hon,Thieme28,"gi,Um'(R!",thieme.kok@floris.nl,FALSE,,,,,7/14/2020,,,FALSE,,,,Thieme Kok,,Legal-US
Eliza,Schipper,,,,,,411084517,,,,,Eliza59,XZ+=T%*Q4,eliza.schipper@floris.nl,,FALSE,,,,7/14/2020,,31494558893,,TRUE,FALSE,https://api.adorable.io/avatars/500/Eliza Schipper.png,Eliza Schipper,,
Siem,Smeets,,,,,,365519832,,,,,Siem43,I\%kM+1`0,siem.smeets@floris.nl,TRUE,FALSE,,,,7/14/2020,,31483606573,TRUE,FALSE,TRUE,https://api.adorable.io/avatars/500/Siem Smeets.png,Siem Smeets,"OU=VIP,DC=floris,DC=local",Secretary-GD
Lodewijk,van de Brink,,,,,,270405431,,,,,Lodewijk37,lK$gZ4wU*,lodewijk.van_de_brink@floris.nl,,TRUE,,,,,,31458443231,,TRUE,FALSE,https://api.adorable.io/avatars/500/Lodewijk van de Brink.png,Lodewijk van de Brink,,
Jasper,van Wijk,,,,,,409320757,,,,,Jasper43,"uQ#Zl""sJ9",jasper.van_wijk@floris.nl,,,,,,7/25/2021,,31433424285,,,,https://api.adorable.io/avatars/500/Jasper van Wijk.png,Jasper van Wijk,,
Sammie,Appeldoorn,,,,,,,,,,,Sammie12,\f1)H5&A',sammie.appeldoorn@floris.nl,,,,,,7/14/2020,,,,,,https://api.adorable.io/avatars/500/Sammie Appeldoorn.png,Sammie Appeldoorn,,Finance-DS
Menno,de Jonge,,,,,,325999530,,,,,Menno39,!Z7Aq6KE/,menno.de_jonge@floris.nl,,,,,,,,,,,,https://api.adorable.io/avatars/500/Menno de Jonge.png,Menno de Jonge,,
Menno,Thomassen,,,,,,349072298,,,,,Menno24,"nT,Kq&9N.",menno.thomassen@floris.nl,,,,,,7/14/2020,,,,,,https://api.adorable.io/avatars/500/Menno Thomassen.png,Menno Thomassen,,
Clasina,Brandon,,,,,,,,,,,Clasina56,ZF1Vm5Vv2,clasina.brandon@floris.nl,,,FALSE,FALSE,TRUE,,TRUE,,,,,,Clasina Brandon,,
Wouter,Nijhof,,,,,,314784769,,,,,Wouter25,">I""Lh'XR""",wouter.nijhof@floris.nl,,,,,,7/14/2020,,,,,,,Wouter Nijhof,,
Bouwina,van de Veen,,,,,,115505987,,,,,Bouwina37,HG0kc2ch+,bouwina.van_de_veen@floris.nl,,,FALSE,FALSE,FALSE,,TRUE,,,,,,Bouwina van de Veen,,HR-GS
Dingeman,Dijk,,,,,,,,,,,Dingeman52,Gd7l_+6U9,dingeman.dijk@floris.nl,,,,,,,,,,,,,Dingeman Dijk,,
Ilona,van Veen,,,,,,128527222,,,,,Ilona40,yQ0x]2TN7,ilona.van_veen@floris.nl,,,,,,10/23/2020,,,,,,,Ilona van Veen,"OU=Isolated,DC=floris,DC=local",
Afke,Gaalman,,,,,,367067335,,,,Prof,Afke38,"!S/=J$XD""",afke.gaalman@floris.nl,,,,,,8/14/2020,,,,,,https://api.adorable.io/avatars/500/Afke Gaalman.png,Afke Gaalman,"OU=Isolated,DC=floris,DC=local",Legal-US
Liese,Deckers,,,,,,,,,,Mr,Liese11,X\&i]*_H3,liese.deckers@floris.nl,,,,,,,,,,,,https://api.adorable.io/avatars/500/Liese Deckers.png,Liese Deckers,"OU=VIP,DC=floris,DC=local",
Joanne,Constant,,,,,,,,,,Hon,Joanne10,"HZ,Vx#Nm,",joanne.constant@floris.nl,TRUE,TRUE,,,,,,,TRUE,FALSE,TRUE,,Joanne Constant,,
Levina,Hoorn,,,,,,,,,,Esq,Levina59,1V1Hx.=^7,levina.hoorn@floris.nl,,,TRUE,TRUE,TRUE,,FALSE,31589252111,,,,https://api.adorable.io/avatars/500/Levina Hoorn.png,Levina Hoorn,,
Pleun,Meuwis,,,,,,369712899,,2367 IO,Tiberiusplein 12,Mr,Pleun13,YB&\x/bO2,pleun.meuwis@floris.nl,FALSE,,,,,12/18/2021,,31161839358,TRUE,,,https://api.adorable.io/avatars/500/Pleun Meuwis.png,Pleun Meuwis,,Finance-DS
Remmelt,Appels,,,,,,515088787,,3365 KP,Heiligeweg 75,,Remmelt16,6C/GM5Az1,remmelt.appels@floris.nl,,,,,,7/14/2020,,31459234578,,,,https://api.adorable.io/avatars/500/Remmelt Appels.png,Remmelt Appels,"OU=Isolated,DC=floris,DC=local",
Arnold,Sanders,,,,,,389853182,,5896 FY,Vijfkamplaan 106,Msgr,Arnold30,"nz,Fu#1m3",arnold.sanders@floris.nl,TRUE,,,,,1/14/2022,,31351953787,FALSE,,,https://api.adorable.io/avatars/500/Arnold Sanders.png,Arnold Sanders,"OU=Isolated,DC=floris,DC=local",
Meindert,Zonneveld,,,,,,320215686,,1441 BU,Operetteweg 22,,Meindert15,EZ)9h-+s1,meindert.zonneveld@floris.nl,,FALSE,,,,,,,,FALSE,FALSE,https://api.adorable.io/avatars/500/Meindert Zonneveld.png,Meindert Zonneveld,"OU=Isolated,DC=floris,DC=local",Secretary-GD
Lijsbeth,den Hertog,,,,,,443550891,,3037 WY,,Rev,Lijsbeth35,"]k3&e,EE0",lijsbeth.den_hertog@floris.nl,FALSE,,,,,7/14/2020,,,TRUE,,,,Lijsbeth den Hertog,"OU=Isolated,DC=floris,DC=local",
Berendina,Quant,,,,,,414973969,,5326 OI,,Mrs,Berendina54,"^b&?D+4W""",berendina.quant@floris.nl,TRUE,,,,,,,,TRUE,,,https://api.adorable.io/avatars/500/Berendina Quant.png,Berendina Quant,"OU=Isolated,DC=floris,DC=local",HR-GS
Nora,Jurgens,,,,,,,,3202 JW,,Ms,Nora17,mV7v`*`R1,nora.jurgens@floris.nl,,TRUE,,,,6/25/2021,,,,TRUE,FALSE,https://api.adorable.io/avatars/500/Nora Jurgens.png,Nora Jurgens,"OU=VIP,DC=floris,DC=local",
Luppo,Beumer,,,,,,525803251,,,,Esq,Luppo15,LU&B`0KY!,luppo.beumer@floris.nl,,,,,,4/23/2020,,,,,,https://api.adorable.io/avatars/500/Luppo Beumer.png,Luppo Beumer,"OU=Isolated,DC=floris,DC=local",
Cato,van de Velde,,,,,,272066601,,,C. Missetstraat 1,,Cato29,7c+[U.iA1,cato.van_de_velde@floris.nl,,,,,,12/27/2021,,31330645532,,,,https://api.adorable.io/avatars/500/Cato van de Velde.png,Cato van de Velde,"OU=Isolated,DC=floris,DC=local",
Vincent,Meeldijk,,,,,,447465060,,4923 QY,Hernandad 5,St,Vincent27,@X$!I)&U9,vincent.meeldijk@floris.nl,,,,,,4/23/2020,,31371788330,,,,,Vincent Meeldijk,"OU=Isolated,DC=floris,DC=local",Legal-US
Nina,Derks,,,,,,545533671,,1481 YW,Spuidijk 2,Mr,Nina20,"3m9ZH""$Z%",nina.derks@floris.nl,,,,,,10/20/2020,,31501274885,,,,https://api.adorable.io/avatars/500/Nina Derks.png,Nina Derks,"OU=Isolated,DC=floris,DC=local",
Pieter,de Vries,,,,,,198552054,,2742 QX,Surinameplein 3,,Pieter49,KV6hj!pf$,pieter.de_vries@floris.nl,,,,,,,,,,,,https://api.adorable.io/avatars/500/Pieter de Vries.png,Pieter de Vries,"OU=Isolated,DC=floris,DC=local",
Marijn,Wouters,,,,,,357597401,,5167 ZY,,,Marijn38,5B+!j8s^$,marijn.wouters@floris.nl,TRUE,TRUE,,,,4/23/2020,,31256725524,FALSE,FALSE,FALSE,,Marijn Wouters,"OU=Isolated,DC=floris,DC=local",Finance-DS
Janna,Martens,,,,,,519696790,,2330 TW,,,Janna58,lh+Zh#cC+,janna.martens@floris.nl,,,,,,,,31150782506,,,,,Janna Martens,"OU=VIP,DC=floris,DC=local",
Wieke,Beukers,,,,,,,,2540 WY,,,Wieke44,"Cc0Ej,Yb7",wieke.beukers@floris.nl,,,,,,8/23/2020,,,,,,,Wieke Beukers,"OU=Isolated,DC=floris,DC=local",Legal-US
Silvijn,Heggelaar,,,,,,,,2222 UB,,,Silvijn31,",^-hX7&a.",silvijn.heggelaar@floris.nl,TRUE,,,,,4/23/2020,,31434411927,FALSE,,,,Silvijn Heggelaar,"OU=Isolated,DC=floris,DC=local",Secretary-GD
Remco,Broekmans,,,,,,,,2546 DD,Hoofdstraat 111,,Remco43,"Lm7iD$""J7",remco.broekmans@floris.nl,TRUE,,,,,4/23/2020,,31549300106,TRUE,,,,Remco Broekmans,,
Ferre,Roels,,,,,,470626268,,4862 YO,Prins Bisschopsingel 4,,Ferre29,"Ie,=Q2=c&",ferre.roels@floris.nl,TRUE,,,,,8/28/2021,,31125439497,FALSE,FALSE,,,Ferre Roels,,
Hero,Praets,,,,,,481336474,,,De Deimpt 31,,Hero38,Ql92W70W#,hero.praets@floris.nl,,,,,,2/20/2021,,31164670294,,,,,Hero Praets,,HR-GS
Arnold,Valentijns,,,,,,395895110,,,Europalaan 5,,Arnold27,EO)Ze4xV0,arnold.valentijns@floris.nl,,TRUE,,,,4/23/2020,,,,TRUE,TRUE,,Arnold Valentijns,,
Antje,N.N,,,,,,233916563,,,Doelmanstraat 2-01,,Antje43,Ch%ev2zV5,antje.n.n@floris.nl,,,,,,,,31336338919,,,,,Antje N.N,,
Nanne,Wiegerink,,,,,,107307658,,,Jacoba van Beierenlaan 216,,Nanne54,"js30T""s`.",nanne.wiegerink@floris.nl,,,TRUE,TRUE,TRUE,4/30/2022,TRUE,,,,,,Nanne Wiegerink,"OU=VIP,DC=floris,DC=local",
Teun,van Hees,,,,,,592295695,,4361 OW,Raadhuislaan 51,Mr,Teun26,"Ga)Q`""*L3",teun.van_hees@floris.nl,,,,,,4/30/2022,,,,,,,Teun van Hees,,
Gerrit,van den Biesen,,,,,,232131538,,1506 LW,Planker 24,Hon,Gerrit20,su7wa&rt9,gerrit.van_den_biesen@floris.nl,,,,,,,,31567024041,,,,,Gerrit van den Biesen,,
Job,N.N,,,,,,,,4447 SS,Hoofdvaartseweg 95,Mr,Job28,Uc(AC1:l/,job.n.n@floris.nl,,FALSE,,,,4/30/2022,,,,FALSE,TRUE,,Job N.N,,
Egbert,Bär,,,,,,,,,,,Egbert17,"w_2!h""4k#",egbert.bär@floris.nl,,,,,,8/23/2021,,31283236214,,,,,Egbert Bär,,
Gesina,Verbeek,,,,,,222327233,,3880 VX,De Twijnderij 4,Rev,Gesina37,@Y6>]*Cn3,gesina.verbeek@floris.nl,,,,,,,,31319526127,,,,https://api.adorable.io/avatars/500/Gesina Verbeek.png,Gesina Verbeek,,
Thymen,Laagland,,,,,,150752543,,5931 MK,Nassaustraat 69,Sr,Thymen31,"Gc""-K,uC#",thymen.laagland@floris.nl,,,,,,,,,,,,https://api.adorable.io/avatars/500/Thymen Laagland.png,Thymen Laagland,,Finance-DS
Tijmen,Veenstra,,,,,,146426112,,1199 BQ,Kerklaan 44,Mrs,Tijmen33,9z(yQ+Pc.,tijmen.veenstra@floris.nl,,,,,,8/23/2021,,31551314289,,,,https://api.adorable.io/avatars/500/Tijmen Veenstra.png,Tijmen Veenstra,,Legal-US
Steven,Baljeu,,,,,,214817012,,4300 XS,Limaweg 51,Jr,Steven47,Or!zX&o]5,steven.baljeu@floris.nl,FALSE,TRUE,,,,8/23/2021,,,FALSE,TRUE,FALSE,,Steven Baljeu,"OU=Isolated,DC=floris,DC=local",
Leunis,Beukers,,,,,,403561950,,2196 DA,Singelpark 7,Mr,Leunis34,Ji*qk7:f0,leunis.beukers@floris.nl,,FALSE,,,,,,31357321460,,FALSE,FALSE,https://api.adorable.io/avatars/500/Leunis Beukers.png,Leunis Beukers,,Secretary-GD
Leonard,van Wijk,,,,,,282387515,,,,Ms,Leonard31,rt&'^4AI&,leonard.van_wijk@floris.nl,,FALSE,FALSE,TRUE,FALSE,,TRUE,31568409076,,TRUE,FALSE,https://api.adorable.io/avatars/500/Leonard van Wijk.png,Leonard van Wijk,,
Heino,van de Wal,,,,,,550955300,,,,,Heino14,"vW!JB""6n)",,,,,,,,,,,,,,Test,,
Gerard,Bra,,,,,,,,,,,Gerard30,"&]-cb""?`0",,,,,,,,,,,,,,TTT,,
Grietje,Haaisma,,,,,,,,,,,Grietje14,wt88c&Cz$,,,,,,,,,,,,,,Test2,,
Otto,Groen,,,,,,,,,,,Otto26,"mf.OS""&K""",,,,,,,,,,,,,,Test3,,
Esther,van der Winkel,,,,,,366527387,,1586 ZG,Stadhuisplein 25,,Esther25,?G2tv-=g4,esther.van_der_winkel@floris.nl,,TRUE,FALSE,FALSE,TRUE,,FALSE,31141110629,,TRUE,TRUE,,Test5,,
Dieke,Welling,,,,,,171638926,,3929 OI,Breeakkerstraat 70,,Dieke58,"jI,.R&fy!",dieke.welling@floris.nl,,,TRUE,FALSE,TRUE,10/23/2020,TRUE,31283205538,,,,https://api.adorable.io/avatars/500/Dieke Welling.png,Dieke Welling,"OU=Isolated,DC=floris,DC=local",HR-GS
Malisa,Westmeijer,,,,,,269424015,,4070 TP,,,Malisa37,"Co+<c3d]""",malisa.westmeijer@floris.nl,TRUE,,,,,,,,TRUE,,,https://api.adorable.io/avatars/500/Malisa Westmeijer.png,Malisa Westmeijer,"OU=VIP,DC=floris,DC=local",Legal-US
Wessel,Jannis,,,,,,488422872,,5717 OB,,,Wessel53,6I9:R/7G&,wessel.jannis@floris.nl,,FALSE,TRUE,TRUE,TRUE,10/23/2020,FALSE,31228753660,,FALSE,FALSE,https://api.adorable.io/avatars/500/Wessel Jannis.png,Wessel Jannis,"OU=Isolated,DC=floris,DC=local",Finance-DS
